Order No.: 110111,,,,
Location on Ship to Shore Crane  MB-MHK,,,,NHK-ED Knahl 
,,,,Date: 19.04.02
,,,,
shorthand expression for crane locations in circuit diagrams,location,,,
+BDA,Boom Hoist Drive Auxiliary Box,,,
+BFC, Bridge Girder Festoon Terminal Box Control,,,
+BFP, Bridge Girder Festoon Terminal Box Power,,,
+BGH,Bridge Girder Hinge Terminal Box,,,
+BGI,Bridge Girder Inside,,,
+BGR,Bridge Girder,,,
+BCS,BoomHoistControlStation,,,
+BOH,Boom Hinge Terminal Box,,,
+BOI,Boom Inside,,,
+BOM,Boom,,,
+CHC,Checker´s Cabin,,,
+CLI,Cross Beam Landside Inside,,,
+CLO,Cross Beam Landside Outside,,,
+CWI,Cross Beam Waterside Inside,,,
+CWO,Cross Beam Waterside Outside,,,
+DSL,DriverSeatLeft,,,
+DSR,DriverSeatRight,,,
+E../.,"Mounting Plate, Electrical equipment",,,
+ERI,Electrical Room Inside,,,
+GCS,Ground Control Station,,,
+GDL,Gantry Drive Landside,,,
+GDW,Gantry Drive Waterside,,,
+HDA, Hoist Drive Auxiliary Box,,,
+HFR,Headframe,,,
+HFT,Headframe Terminal Box,,,
+HVC,High Voltage Switch Control Box,,,
+LLL,Leg Landside Left,,,
+LLR,Leg Landside Right,,,
+LLT,Leg LandsideTermial box,,,
+LWT,Leg WandsideTermial box  ,,,
+LWL,Leg Waterside Left,,,
+LWR,Leg Waterside Right,,,
+MHI,Machinery House Inside,,,
+MHO,Machinery  House Outside,,,
+MLR,Machinery H. Local Station Rope changing Boom,,,
+OCE,Operators Cabin Electrical equipment plate,,,
+OFC,Operators Cabin Front Console ,,,
+OPC,Operators Cabin,,,
+OPS,Operator`s Seat,,,
+OSC,Operator Cabin Side Console ,,,
+PBL,Portal Beam Left,,,
+PBR,Portal Beam Right,,,
+PYT,Pylon Terminal Box,,,
+PYW,Pylon Waterside,,,
+SLI,Sillbeam Landside Inside,,,
+SLT,Sillbeam Landside Terminal Box,,,
+SPR,Spreader,,,
+SWI,Sillbeam Waterside Inside,,,
+SWT,Sillbeam Waterside Terminal Box,,,
+TEC,Trolley Electrical Cubicle,,,
+TFP,Trolley Festoon Terminal  Box Power,,,
+TDA,Trolley DriveAuxiliary,,,
+TLM,Trolley Local Station for Maintenance Trolley  ,,,
+TLR,Trolley Local Station for Rope changing  hoist,,,
+TMH,Trolley Machinery House,,,
+TRO,Trolley,,,
+TSD,Spreader Drum on Trolley,,,
